,location,size,total_sqft,bath,price
0,1st Block Jayanagar,3,1630.0,3.0,194.0
1,1st Block Jayanagar,3,1875.0,2.0,235.0
2,1st Block Jayanagar,2,1235.0,2.0,148.0
3,1st Phase JP Nagar,4,2825.0,4.0,250.0
4,1st Phase JP Nagar,3,1875.0,3.0,167.0
5,1st Phase JP Nagar,3,2024.0,3.0,157.0
6,1st Phase JP Nagar,2,1394.0,2.0,100.0
7,1st Phase JP Nagar,2,1077.0,2.0,93.0
8,1st Phase JP Nagar,3,1590.0,3.0,131.0
9,1st Phase JP Nagar,3,2180.0,3.0,210.0
10,1st Phase JP Nagar,2,1180.0,2.0,88.5
11,1st Phase JP Nagar,2,1200.0,2.0,86.0
12,1st Phase JP Nagar,3,2077.0,3.0,175.0
13,1st Phase JP Nagar,2,1205.0,2.0,85.0
14,1st Phase JP Nagar,4,2615.0,5.0,222.0
15,1st Phase JP Nagar,2,900.0,2.0,75.0
16,2nd Phase Judicial Layout,3,1450.0,2.0,50.75
17,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
18,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
19,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
20,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
21,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
22,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0
23,2nd Stage Nagarbhavi,6,3000.0,8.0,451.0
24,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0
25,2nd Stage Nagarbhavi,4,1500.0,3.0,230.0
26,5th Block Hbr Layout,2,1206.0,2.0,56.0
27,5th Block Hbr Layout,3,1270.0,2.0,70.0
28,5th Block Hbr Layout,2,1312.0,2.0,69.0
29,5th Block Hbr Layout,2,1100.0,2.0,48.0
30,5th Phase JP Nagar,2,1150.0,3.0,52.5
31,5th Phase JP Nagar,2,1256.0,2.0,62.8
32,5th Phase JP Nagar,2,1207.0,2.0,63.0
33,5th Phase JP Nagar,3,1485.0,2.0,67.0
34,5th Phase JP Nagar,1,600.0,1.0,30.0
35,5th Phase JP Nagar,2,1390.0,2.0,65.0
36,5th Phase JP Nagar,2,1256.0,2.0,62.8
37,5th Phase JP Nagar,2,1000.0,2.0,48.0
38,5th Phase JP Nagar,3,1240.0,3.0,60.0
